frame,truth,target,Lip,bnd
0,83,0,0.0012751059273194525,783.8457227412168
0,83,62,0.0012750930505711561,783.853591797852
0,83,74,0.001275171249448494,783.8054758482906
0,83,53,0.0012752762846872537,783.7409194880058
0,83,27,0.0012752680234719269,783.7459965795483
0,83,26,0.0012750205742211675,783.89810185813
0,83,82,0.0012756090997254777,783.5364361834157
0,83,64,0.0012752859949711252,783.7349519271294
0,83,79,0.0012754773147395358,783.6173928080724
0,83,71,0.0012749647336421216,783.9323880765033
1,83,0,0.0956206559639864,10.387931824415285
1,83,62,0.09562135482385965,10.387855279658348
1,83,26,0.09562041695142502,10.387957166717957
1,83,74,0.09562095953287947,10.387898222393034
1,83,8,0.09562091249859982,10.38790270867803
1,83,71,0.09562124229878405,10.387866880527875
1,83,53,0.09562231860807253,10.387749956385333
1,83,36,0.09562133861389038,10.387855793952815
1,83,64,0.09562265812045496,10.38771245089813
1,83,1,0.09562116955626769,10.387874159616125
2,55,1,0.0018588107540439959,537.5804097214951
2,55,8,0.0018588168457270497,537.5786479720902
2,55,22,0.0018587914638119169,537.5859565762233
2,55,26,0.0018589343361986605,537.5446392541426
2,55,63,0.0018587553716769465,537.5963950799655
2,55,68,0.0018588448467226526,537.5705180079194
2,55,19,0.001858886644832784,537.5584304329305
2,55,69,0.0018587043691650914,537.6111466278545
2,55,0,0.00185900184811608,537.5250856028235
2,55,32,0.0018587117397665526,537.6089826978263
3,83,0,0.0001119425849024036,8932.462937770522
3,83,79,0.00011194100778159409,8932.588785960195
3,83,71,0.00011194371459567843,8932.372794761199
3,83,74,0.00011193584415134424,8933.0008486557
3,83,27,0.00011194177791384566,8932.52733191826
3,83,64,0.0001119592514717082,8931.133226195496
3,83,62,0.0001119354813175707,8933.029804571812
3,83,82,0.00011193815505906057,8932.816431281835
3,83,36,0.00011191957173695862,8934.299651798532
3,83,69,0.00011196909671838678,8930.347927284385
4,83,0,0.0016364341537386778,610.6089405661597
4,83,82,0.0016364341560343386,610.608939709571
4,83,64,0.0016364275066507734,610.6113844059523
4,83,79,0.0016364816264522325,610.5911909822324
4,83,5,0.0016365256101571143,610.5747805682549
4,83,71,0.0016365416547110237,610.5687945305916
4,83,74,0.0016365158450960017,610.578423857175
4,83,80,0.0016365036418047704,610.5829768970434
4,83,2,0.0016365562309802624,610.5633563947248
4,83,63,0.0016364778497851196,610.5926001059006
5,41,24,0.0010295474318072623,970.8799627629318
5,41,63,0.0010296538106379554,970.7796561607369
5,41,82,0.0010295264277021096,970.8997703795987
5,41,0,0.0010295683648079764,970.8601651115126
5,41,35,0.0010297179979939738,970.7190848352169
5,41,76,0.0010295654450851082,970.8629183533191
5,41,34,0.001029614087441374,970.8170515955351
5,41,49,0.0010298164615762332,970.6262717155722
5,41,46,0.0010295371424116687,970.8895501379905
5,41,2,0.0010294563371332198,970.9657583244012
6,83,0,7.551646111017348e-05,13241.58239916406
6,83,71,7.552750108976321e-05,13239.646855192483
6,83,82,7.552555628754198e-05,13239.987779455447
6,83,79,7.552678671660219e-05,13239.77208292672
6,83,64,7.55306040312766e-05,13239.102945205577
6,83,27,7.554208052315426e-05,13237.09163632494
6,83,23,7.552297124392465e-05,13240.440965358213
6,83,74,7.555951812195573e-05,13234.03678501051
6,83,68,7.555963169025331e-05,13234.016893872951
6,83,80,7.554745178020981e-05,13236.150508329603
7,83,0,7.699307094407752e-05,12987.653789762004
7,83,71,7.69922887509551e-05,12987.785736137876
7,83,79,7.699843546288566e-05,12986.74893354499
7,83,82,7.698574070586341e-05,12988.89041611967
7,83,74,7.698725318567822e-05,12988.635238362856
7,83,27,7.698041558313076e-05,12989.788923033446
7,83,23,7.696207894664253e-05,12992.883811331689
7,83,64,7.702720240950815e-05,12981.898840309295
7,83,77,7.698879135274023e-05,12988.375737069837
7,83,36,7.701514249759564e-05,12983.931694516845
8,83,0,0.01702286601561225,58.55099311560088
8,83,79,0.017022877529137864,58.55095351428448
8,83,71,0.017022862720605776,58.551004448941484
8,83,6,0.01702296014941525,58.55066583807409
8,83,32,0.017022916286208455,58.55081670646353
8,83,81,0.0170230144647937,58.55047902030571
8,83,68,0.017022961607228732,58.5506608239084
8,83,77,0.017023115623563415,58.55012758645535
8,83,64,0.017023274777007748,58.54958019151557
8,83,33,0.01702302628564849,58.55043486121539
9,39,71,0.0007927739065829248,1260.3925985173653
9,39,0,0.0007927619380157039,1260.4115518603235
9,39,68,0.000792910132397567,1260.1759817708653
9,39,81,0.0007927559264115654,1260.4211097772672
9,39,6,0.000792698914228345,1260.5117612944518
9,39,32,0.0007926287083325841,1260.623409227953
9,39,63,0.000792659445882412,1260.5745250885452
9,39,24,0.000792560805635381,1260.7313380132157
9,39,79,0.0007928248267244751,1260.311497905165
9,39,31,0.0007927715775548171,1260.3961509662408
10,83,0,0.027306839500138312,36.59009795445111
10,83,79,0.02730687491076429,36.59005050565745
10,83,71,0.027306885757123336,36.5900359720036
10,83,82,0.027307332166988278,36.589435629298535
10,83,77,0.027307323536218932,36.58944719377789
10,83,81,0.027307264442319696,36.589526374653374
10,83,6,0.027307034188852213,36.589834898283705
10,83,5,0.027307346276243302,36.589416724141174
10,83,32,0.027307395739744722,36.58935044756602
10,83,9,0.027307357036541788,36.58940230630334
11,83,0,0.0018669830522907195,535.5111552985602
11,83,79,0.001866975587513897,535.5132964466753
11,83,71,0.0018670068002139522,535.504343712333
11,83,36,0.0018670312092953474,535.4973426675471
11,83,77,0.0018670593528511872,535.4892707231054
11,83,81,0.0018670640273785474,535.4878981060691
11,83,82,0.0018675304195800288,535.3541667477759
11,83,32,0.0018672540618359134,535.4334003522698
11,83,20,0.0018671760381598302,535.4557745051828
11,83,33,0.001867128237593184,535.4694827705927
12,83,36,0.02210193080129896,45.02382354526669
12,83,79,0.022101972123248978,45.023739368516495
12,83,0,0.0221020134967074,45.02365508715412
12,83,71,0.02210206132063096,45.023554969230645
12,83,62,0.02210230113934066,45.02306105232672
12,83,20,0.02210230287682432,45.02305751301982
12,83,81,0.022103046233093317,45.02154332480799
12,83,21,0.02210317794718769,45.02127234221601
12,83,74,0.022103179251313963,45.02126698922731
12,83,13,0.022102685340366822,45.02227304330072
13,57,36,0.010357284999718438,96.31385737796299
13,57,13,0.010357485951434556,96.31198298106187
13,57,19,0.010357223730799022,96.31442137479007
13,57,71,0.010357379455356601,96.31297327484145
13,57,79,0.010357714977028159,96.30984186032124
13,57,24,0.010356594380876698,96.32026270274949
13,57,29,0.01035709191818165,96.3156356390625
13,57,0,0.010356984804771938,96.31662599404423
13,57,75,0.010356947817978574,96.31696996054922
13,57,21,0.010358301804300607,96.30437412514915
14,83,0,0.0003213679568368436,3111.4642168734895
14,83,71,0.0003213709905841066,3111.43484460179
14,83,79,0.00032137511546141305,3111.394909067383
14,83,36,0.0003213808757553649,3111.33914175007
14,83,64,0.0003213815157870994,3111.3329455138532
14,83,82,0.00032141672948252917,3110.9920748600443
14,83,74,0.0003214493513288261,3110.67636009852
14,83,62,0.000321468851047011,3110.487486691863
14,83,80,0.00032157030772674814,3109.506115821541
14,83,27,0.00032153716546726743,3109.826626386463
15,83,0,0.00016201955513174876,6171.965708467596
15,83,71,0.00016202358997281094,6171.812009239731
15,83,79,0.00016203365728173974,6171.428548548972
15,83,23,0.00016203295550752832,6171.455277367128
15,83,74,0.00016204049288809746,6171.16820957153
15,83,36,0.00016204365178036338,6171.047908311253
15,83,82,0.00016210846140040053,6168.5807744755875
15,83,27,0.00016201127501203112,6172.281147099602
15,83,73,0.00016208109102604348,6169.622452835353
15,83,64,0.000162088076395934,6169.356565943016
16,83,0,0.009373170509212114,106.53036637448554
16,83,74,0.009373184604262431,106.53019981897798
16,83,81,0.009373273044595194,106.52919466674605
16,83,17,0.009373542362181086,106.52612754558005
16,83,5,0.009373606492825842,106.52539873439643
16,83,53,0.009373900159594143,106.52206149279414
16,83,23,0.009373607052381033,106.52539237538869
16,83,73,0.009373298092857424,106.52890362982171
16,83,27,0.00937434267534463,106.517026761692
16,83,80,0.00937336081437584,106.52818443642148
17,54,63,0.00046697650519794573,2140.324001813052
17,54,81,0.000467025490918149,2140.0993782766886
17,54,0,0.00046696181156408905,2140.3912225831345
17,54,74,0.00046697357538848754,2140.3373026445906
17,54,20,0.00046707061209787617,2139.8926347861325
17,54,46,0.0004670248014358256,2140.102537767763
17,54,64,0.00046691549521337225,2140.6035417534185
17,54,12,0.00046698363758873395,2140.291056683404
17,54,73,0.00046700614545094513,2140.1879030596992
17,54,7,0.00046701474506529914,2140.1484936174793
18,83,0,0.007159730302322387,139.59398342521456
18,83,74,0.007159951263252089,139.58966713591775
18,83,64,0.007160180859963743,139.5851910857757
18,83,79,0.007160427266486263,139.5803876431527
18,83,17,0.007160424324018175,139.58044500160213
18,83,81,0.007160255862493129,139.58372895333278
18,83,27,0.007160453351841377,139.57987915524004
18,83,5,0.007160366623429834,139.5815614624725
18,83,82,0.0071603916126263345,139.58107433393877
18,83,71,0.007161473696200507,139.55998392794004
19,83,0,0.6322773302261283,1.54953150948112
19,83,82,0.6322773216168611,1.54953153057998
19,83,71,0.6322779359841388,1.5495299306726364
19,83,74,0.6322771684488396,1.5495318116814383
19,83,79,0.6322776810724544,1.5495305553875307
19,83,68,0.6322801560843396,1.5495243013310138
19,83,73,0.6322785826778896,1.5495281572761572
19,83,21,0.6322793617696709,1.5495262479545422
19,83,15,0.6322784947149562,1.549528278577764
19,83,13,0.6322822118575536,1.549519169010134
20,45,71,0.00234506280851585,426.18535745147506
20,45,79,0.002345218826232124,426.1570051009672
20,45,82,0.002344946279228322,426.20651080234427
20,45,10,0.002345005292592727,426.19578507809405
20,45,21,0.0023450084866570697,426.1952045698494
20,45,15,0.002345105428948457,426.17758645375136
20,45,28,0.0023453220945649374,426.13821530310514
20,45,74,0.002345060514271875,426.1857489844603
20,45,0,0.0023447049213301775,426.2503834051127
20,45,63,0.0023453154733335782,426.1394183650158
21,83,0,0.008959443072111058,111.47557088729233
21,83,82,0.008959466097266286,111.47528440344429
21,83,71,0.008959451967806797,111.47546020499117
21,83,79,0.008959447240188786,111.4755190270791
21,83,74,0.00895949193718266,111.47496289949665
21,83,68,0.008959558021621008,111.47414067586739
21,83,77,0.00895963314884286,111.47319930393822
21,83,73,0.008959615468562594,111.47341927737487
21,83,64,0.008959699970521848,111.47236793387401
21,83,81,0.008959564907628365,111.47404834812535
22,83,79,0.024453389405298714,40.68095427176107
22,83,0,0.02445339263546534,40.68094889801752
22,83,74,0.024453447766141497,40.68085718218911
22,83,71,0.02445333342780232,40.681047396814044
22,83,21,0.02445353559893326,40.68070862625176
22,83,64,0.024453227238877846,40.68122161807258
22,83,82,0.024453413737198053,40.68091135548195
22,83,81,0.024453166119470435,40.681323298654384
22,83,36,0.024453268187179578,40.681151057705385
22,83,53,0.024453580703131545,40.68063115394142
23,56,21,0.000779022052463022,1283.2351482286322
23,56,79,0.0007790813100961572,1283.1375441959663
23,56,25,0.0007791622856074089,1283.0041923634062
23,56,15,0.0007791043172485585,1283.0995763076862
23,56,64,0.0007791189516078887,1283.0754755715695
23,56,0,0.0007790906586610216,1283.1220709014624
23,56,71,0.0007792342667522621,1282.885599381545
23,56,36,0.000779271460699666,1282.8243683703827
23,56,12,0.000779214182994282,1282.9186649551143
23,56,63,0.0007792042552598352,1282.935010445705
24,83,0,0.3439231538731306,2.870318605221464
24,83,71,0.3439238831388147,2.870312345611092
24,83,74,0.3439239796956893,2.870311539769088
24,83,79,0.34392442872705314,2.870307792260049
24,83,64,0.3439247916069071,2.8703045904509787
24,83,21,0.34392436361324363,2.8703081623763986
24,83,53,0.3439257774190731,2.870296363149127
24,83,36,0.3439246795794196,2.870305525402818
24,83,34,0.3439261915365455,2.8702927337526156
24,83,27,0.34392649597563785,2.8702901930082274
25,83,0,0.0001958698225405844,5105.135907692414
25,83,79,0.00019587125699083196,5105.098520565894
25,83,71,0.00019588000547380888,5104.87051430566
25,83,74,0.00019588477967561946,5104.7460958485835
25,83,64,0.00019585753197368707,5105.45626817976
25,83,62,0.00019589328757296437,5104.524390162322
25,83,82,0.00019590853530386385,5104.1271006100815
25,83,27,0.00019592738951689555,5103.635927324238
25,83,9,0.00019585925051901737,5105.411470918433
25,83,5,0.00019586482567951632,5105.266148815474
26,83,0,0.0006577919932393107,1519.107922220233
26,83,79,0.0006578162463711946,1519.0519139884711
26,83,64,0.0006578039375341584,1519.0803385104175
26,83,26,0.000657457555324298,1519.8805769375267
26,83,74,0.0006578745485894594,1518.917201829322
26,83,71,0.0006580817752785431,1518.4388117580593
26,83,27,0.000657753475585359,1519.196699043376
26,83,80,0.0006579526406880518,1518.7368316488792
26,83,73,0.0006580840474949634,1518.4335689298605
26,83,82,0.0006581304101448352,1518.3266013702025
27,61,26,0.003134134661032847,318.41606914579467
27,61,64,0.003134362308280153,318.39294273776983
27,61,79,0.003133901659848411,318.43972391376633
27,61,0,0.0031340102427116776,318.4286910535257
27,61,34,0.003134620210005556,318.36670884241136
27,61,36,0.0031350559626096633,318.32243890632753
27,61,29,0.0031348158929319437,318.34681659482004
27,61,12,0.003133640295544694,318.4662266246551
27,61,25,0.003134115635034527,318.4179260539931
27,61,1,0.003135665215182072,318.2605705766141
28,83,0,0.0008282704624085586,1207.1703033522697
28,83,79,0.0008282741146190882,1207.1649804283545
28,83,27,0.0008283146065107387,1207.1059685587009
28,83,34,0.0008283301087006717,1207.0833775822323
28,83,82,0.0008283372124247433,1207.0730257748799
28,83,64,0.000828350177325379,1207.0541333037154
28,83,26,0.000828395711081293,1206.9877861370828
28,83,71,0.000828330980087289,1207.0821077561284
28,83,77,0.000828371272021233,1207.0233233935603
28,83,36,0.0008283794252374246,1207.0114434243046
29,83,0,3.403772801557924e-05,29378.684378394293
29,83,79,3.4038437670741285e-05,29378.07187275508
29,83,71,3.40432101512448e-05,29373.95339289902
29,83,82,3.404188998269169e-05,29375.092535572046
29,83,64,3.404632844568973e-05,29371.263040080597
29,83,62,3.404742124515078e-05,29370.32032843764
29,83,34,3.404953317352258e-05,29368.498629077643
29,83,74,3.40519003264059e-05,29366.45704768153
29,83,27,3.4053897028952665e-05,29364.735186611513
29,83,77,3.405946198204901e-05,29359.9373018391
30,83,0,3.348896113149093e-05,29860.10532902402
30,83,71,3.349834280593654e-05,29851.742593328963
30,83,79,3.349627484603742e-05,29853.585550699165
30,83,62,3.349496904743291e-05,29854.74939026852
30,83,64,3.3490316313408544e-05,29858.897043189358
30,83,5,3.34918791603855e-05,29857.503723729566
30,83,82,3.349715760000544e-05,29852.798816152335
30,83,74,3.349002415733127e-05,29859.1575224948
30,83,27,3.3518635486478815e-05,29833.669904292412
30,83,34,3.344069061507041e-05,29903.207390557207
